Date,close,market_cap,circulating_market_cap,Price1Y,ATR14,Variance120,VEMA26,net_interest_expense,net_invest_cash_flow_ttm,non_operating_net_profit_ttm
2020-06-18,12.66,247619530000,247617410000,-0.115791,32.78,0.107106,639957.301874,-24770000896,-72646000000,-93000000
2020-06-19,12.7,248395750000,248393630000,-0.113151,31.4,0.107047,686979.798033,-24770000896,-72646000000,-93000000
2020-06-22,12.54,245290820000,245288720000,-0.124369,29.933571,0.107247,716998.331515,-24770000896,-72646000000,-93000000
2020-06-23,12.5,244514580000,244512480000,-0.127264,28.122143,0.106471,724658.603256,-24770000896,-72646000000,-93000000
2020-06-24,12.7,248395750000,248393630000,-0.113475,28.553571,0.10684,764407.07709,-24770000896,-72646000000,-93000000
2020-06-29,12.7,248395750000,248393630000,-0.113561,29.157143,0.106805,771479.589899,-24770000896,-72646000000,-93000000
2020-06-30,12.7,248395750000,248393630000,-0.113582,28.207857,0.106502,771861.620279,-24770000896,-72646000000,-93000000
2020-07-01,13.02,254605640000,254603490000,-0.091261,30.02,0.107725,818796.315074,-24770000896,-72646000000,-93000000
2020-07-02,13.33,260621480000,260619260000,-0.069756,31.831429,0.109042,917033.402846,-24770000896,-72646000000,-93000000
2020-07-03,14.14,276534330000,276531980000,-0.012989,35.282143,0.11708,1080236.18782,-24770000896,-72646000000,-93000000
2020-07-06,15.56,304284790000,304282200000,0.085701,45.806429,0.137026,1289196.69242,-24770000896,-72646000000,-93000000
2020-07-07,15.36,300403610000,300401050000,0.071099,57.970714,0.136616,1436859.23372,-24770000896,-72646000000,-93000000
2020-07-08,15.64,305837280000,305834670000,0.08987,63.146429,0.137253,1491818.69789,-24770000896,-72646000000,-93000000
2020-07-09,15.41,301373900000,301371340000,0.073303,65.648571,0.137628,1518949.23879,-24770000896,-72646000000,-93000000
2020-07-10,14.74,288371950000,288369480000,0.026472,70.047857,0.139795,1538843.07295,-24770000896,-72646000000,-93000000
2020-07-13,14.77,288954130000,288951660000,0.028286,73.066429,0.139662,1543670.6231,-24770000896,-72646000000,-93000000
2020-07-14,14.57,284878880000,284876440000,0.013471,77.034286,0.139985,1549146.87324,-24770000896,-72646000000,-93000000
2020-07-15,14.16,276922460000,276920090000,-0.01509,81.002143,0.140783,1559676.06782,-24770000896,-72646000000,-93000000
2020-07-16,14.04,274593750000,274591410000,-0.02353,82.296429,0.140568,1562575.91464,-24770000896,-72646000000,-93000000
2020-07-17,14.03,274399680000,274397340000,-0.024435,82.900714,0.140192,1526034.43948,-24770000896,-72646000000,-93000000
2020-07-20,14.62,285849170000,285846730000,0.01605,87.3,0.143717,1534415.81434,-24770000896,-72646000000,-93000000
2020-07-21,14.38,281191750000,281189360000,-0.00089,86.609286,0.144203,1497600.05031,-24770000896,-72646000000,-93000000
2020-07-22,14.3,279639280000,279636890000,-0.006729,85.401429,0.144214,1467196.78732,-24770000896,-72646000000,-93000000
2020-07-23,13.9,271876900000,271874610000,-0.034444,82.899286,0.14426,1482874.06234,-24770000896,-72646000000,-93000000
2020-07-24,13.39,261979910000,261977660000,-0.069655,75.652857,0.146826,1485328.87253,-24770000896,-72646000000,-93000000
2020-07-27,13.14,256934350000,256932180000,-0.087568,66.853571,0.145211,1490654.58568,-24770000896,-72646000000,-93000000
2020-07-28,13.24,258874950000,258872730000,-0.080625,62.367857,0.124635,1454880.91267,-24770000896,-72646000000,-93000000
2020-07-29,13.43,262756130000,262753880000,-0.066812,62.109286,0.121099,1440315.5858,-24770000896,-72646000000,-93000000
2020-07-30,13.27,259457130000,259454910000,-0.078474,56.933571,0.121402,1392756.7276,-24770000896,-72646000000,-93000000
2020-07-31,13.24,258874950000,258872730000,-0.080483,54.345714,0.121199,1361095.41444,-24770000896,-72646000000,-93000000
2020-08-03,13.48,263726440000,263724170000,-0.063198,51.240714,0.121763,1348908.643,-24770000896,-72646000000,-93000000
2020-08-04,13.93,272459080000,272456760000,-0.032167,51.586429,0.123934,1398994.5213,-24770000896,-72646000000,-93000000
2020-08-05,13.65,267025440000,267023170000,-0.051486,51.499286,0.123921,1383700.33454,-24770000896,-72646000000,-93000000
2020-08-06,13.79,269742260000,269739970000,-0.041774,51.326429,0.124142,1364160.38383,-24770000896,-72646000000,-93000000
2020-08-07,13.59,265861080000,265858810000,-0.055526,47.962857,0.124435,1323752.13317,-24770000896,-72646000000,-93000000
2020-08-10,13.84,270712550000,270710250000,-0.038179,48.567143,0.123714,1323078.78998,-24770000896,-72646000000,-93000000
2020-08-11,14.02,274205620000,274203300000,-0.025783,51.414286,0.122978,1384747.17591,-24770000896,-72646000000,-93000000
2020-08-12,14.27,279057100000,279054710000,-0.008621,49.430714,0.123402,1380113.97769,-24770000896,-72646000000,-93000000
2020-08-13,14.07,275175930000,275173560000,-0.022644,47.102143,0.123784,1329236.86823,-24770000896,-72646000000,-93000000
2020-08-14,14.36,280803640000,280801250000,-0.002949,45.98,0.123552,1298440.72984,-24770000896,-72646000000,-93000000
2020-08-17,15.07,294775900000,294773390000,0.046282,51.415,0.128759,1402704.82393,-24770000896,-72646000000,-93000000
2020-08-18,15.03,293999660000,293997140000,0.042985,51.155714,0.127691,1381619.20735,-24770000896,-72646000000,-93000000
2020-08-19,14.98,293029370000,293026880000,0.039251,53.053571,0.127372,1366429.85866,-24770000896,-72646000000,-93000000
2020-08-20,14.48,283132350000,283129930000,0.003923,55.900714,0.129783,1347021.72098,-24770000896,-72646000000,-93000000
2020-08-21,14.34,280415530000,280413130000,-0.005636,56.849286,0.12985,1322961.5935,-24770000896,-72646000000,-93000000
2020-08-24,14.35,280609570000,280607180000,-0.004895,53.657143,0.126393,1281358.95694,-24770000896,-72646000000,-93000000
2020-08-25,14.49,283326420000,283324000000,0.004806,52.017857,0.125764,1232341.77495,-24770000896,-72646000000,-93000000
2020-08-26,14.26,278863040000,278860670000,-0.010995,52.19,0.126249,1186084.38421,-24770000896,-72646000000,-93000000
2020-08-27,14.35,280609570000,280607180000,-0.004724,52.793571,0.126314,1136662.94834,-24770000896,-72646000000,-93000000
2020-08-28,15.01,293611550000,293609030000,0.041448,57.279286,0.126055,1200307.84106,-25535000576,-48439000000,-87000000
2020-08-31,14.96,292641260000,292638750000,0.037893,57.106429,0.1249,1221623.33431,-25535000576,-48439000000,-87000000
2020-09-01,15.02,293805590000,293803100000,0.041773,56.933571,0.121699,1181037.60584,-25535000576,-48439000000,-87000000
2020-09-02,15.2,297298680000,297296120000,0.053847,58.658571,0.121059,1196558.52393,-25535000576,-48439000000,-87000000
2020-09-03,14.78,289148170000,289145700000,0.024692,59.004286,0.122648,1186423.81845,-25535000576,-48439000000,-87000000
2020-09-04,14.84,290312550000,290310060000,0.028567,55.381429,0.122671,1154348.79486,-25535000576,-48439000000,-87000000
2020-09-07,14.82,289924410000,289921950000,0.026942,55.554286,0.122402,1132101.10635,-25535000576,-48439000000,-87000000
2020-09-08,15.31,299433330000,299430760000,0.060353,56.416429,0.1184,1134577.17255,-25535000576,-48439000000,-87000000
2020-09-09,15.09,295164010000,295161500000,0.04479,54.863571,0.117482,1112701.97458,-25535000576,-48439000000,-87000000
2020-09-10,15.22,297686790000,297684250000,0.053345,53.914286,0.111483,1088983.0135,-25535000576,-48439000000,-87000000
2020-09-11,14.89,291282840000,291280350000,0.030365,55.812143,0.109322,1066845.82732,-25535000576,-48439000000,-87000000
2020-09-14,15.18,296910550000,296908010000,0.049995,57.106429,0.108962,1029543.46974,-25535000576,-48439000000,-87000000
2020-09-15,15.23,297880830000,297878300000,0.053106,57.106429,0.106851,993586.323828,-25535000576,-48439000000,-87000000
2020-09-16,15.32,299627370000,299624830000,0.058985,56.934286,0.104204,964296.744284,-25535000576,-48439000000,-87000000
2020-09-17,15.45,302150150000,302147560000,0.067642,51.758571,0.103562,953479.652116,-25535000576,-48439000000,-87000000
2020-09-18,15.94,311853100000,311850440000,0.101582,50.723571,0.105124,967076.492698,-25535000576,-48439000000,-87000000
2020-09-21,15.74,307777860000,307775240000,0.08666,50.809286,0.10555,950407.345091,-25535000576,-48439000000,-87000000
2020-09-22,15.45,302150150000,302147560000,0.066338,50.377857,0.105735,933230.726936,-25535000576,-48439000000,-87000000
2020-09-23,15.51,303314500000,303311910000,0.070114,48.911429,0.1054,900854.524943,-25535000576,-48439000000,-87000000
2020-09-24,15.0,293417480000,293414990000,0.034787,49.342857,0.107842,899201.819391,-25535000576,-48439000000,-87000000
2020-09-25,15.07,294775900000,294773390000,0.039261,47.530714,0.107817,870259.388326,-25535000576,-48439000000,-87000000
2020-09-28,15.19,297104610000,297102080000,0.047176,46.668571,0.106057,843376.470672,-25535000576,-48439000000,-87000000
2020-09-29,14.68,287207590000,287205150000,0.012093,48.566429,0.107825,853425.176548,-25535000576,-48439000000,-87000000
2020-09-30,15.05,294387770000,294385280000,0.037473,50.205714,0.108784,864857.31162,-25535000576,-48439000000,-87000000
2020-10-09,15.06,294581840000,294579320000,0.038144,49.342857,0.108735,856021.510759,-25535000576,-48439000000,-87000000
2020-10-12,15.78,308554100000,308551460000,0.087305,53.57,0.113064,890217.991445,-25535000576,-48439000000,-87000000
2020-10-13,15.93,311659060000,311656400000,0.098125,53.657143,0.112516,880018.436523,-25535000576,-48439000000,-87000000
2020-10-14,15.9,311076880000,311074220000,0.095884,53.57,0.111783,855470.25604,-25535000576,-48439000000,-87000000
2020-10-15,16.43,321362010000,321359250000,0.131995,58.487143,0.113762,890242.088924,-25535000576,-48439000000,-87000000
2020-10-16,16.97,331841210000,331838380000,0.168514,60.73,0.115007,952832.971227,-25535000576,-48439000000,-87000000
2020-10-19,17.34,339215450000,339212550000,0.194095,66.251429,0.1154,1005910.82521,-25535000576,-48439000000,-87000000
2020-10-20,17.4,340379810000,340376900000,0.197701,65.216429,0.115351,990285.060379,-25535000576,-48439000000,-87000000
2020-10-21,17.77,347559990000,347557030000,0.222436,68.235714,0.11382,993265.870723,-25535000576,-48439000000,-87000000
2020-10-22,17.42,340767920000,340765010000,0.198092,74.187143,0.114097,1035645.80622,-24849000448,-7171999680,-109000000
2020-10-23,17.99,351829300000,351826290000,0.236769,83.245,0.115921,1063109.07984,-24849000448,-7171999680,-109000000
2020-10-26,17.56,343484740000,343481810000,0.207026,87.126429,0.117399,1056465.74059,-24849000448,-7171999680,-109000000
2020-10-27,17.62,344649120000,344646170000,0.210724,85.832143,0.116799,1041682.57462,-24849000448,-7171999680,-109000000
2020-10-28,17.49,342126340000,342123410000,0.20142,87.04,0.117004,1038480.23576,-24849000448,-7171999680,-109000000
2020-10-29,17.63,344843160000,344840230000,0.210492,88.420714,0.114564,1013482.29237,-24849000448,-7171999680,-109000000
2020-10-30,17.61,344455050000,344452100000,0.208747,87.472143,0.114428,1000223.30775,-24849000448,-7171999680,-109000000
2020-11-02,17.49,342126340000,342123410000,0.200049,90.75,0.114198,985532.840509,-24849000448,-7171999680,-109000000
2020-11-03,17.82,348530300000,348527320000,0.222022,94.114286,0.114603,971281.37084,-24849000448,-7171999680,-109000000
